file,emotion,dominant_emotion,region,age,gender,dominant_gender,race,dominant_race
0 (3).jpeg,"{'angry': 0.00011549343286064392, 'disgust': 7.479253546406622e-08, 'fear': 0.0011762311676912108, 'happy': 94.0920896420372, 'sad': 0.0009409346391019562, 'surprise': 0.0005654188279453805, 'neutral': 5.905111175166228}",happy,"{'x': 106, 'y': 158, 'w': 404, 'h': 404}",34,"{'Woman': 99.99643564224243, 'Man': 0.003568741158233024}",Woman,"{'asian': 4.539383091639593e-07, 'indian': 4.244612661352676e-07, 'black': 9.829141840722588e-10, 'white': 99.88707900047302, 'middle eastern': 0.03465117188170552, 'latino hispanic': 0.07827066583558917}",white
0 (7).jpg,"{'angry': 99.94285106318301, 'disgust': 2.7266398773134623e-12, 'fear': 5.172618411045478e-05, 'happy': 6.465412058075567e-06, 'sad': 0.056771134150542864, 'surprise': 9.937640712857102e-10, 'neutral': 0.000316632322893216}",angry,"{'x': 95, 'y': 127, 'w': 372, 'h': 372}",33,"{'Woman': 57.56900906562805, 'Man': 42.43099391460419}",Woman,"{'asian': 1.3264276087284088, 'indian': 6.588213890790939, 'black': 0.5085618235170841, 'white': 25.159072875976562, 'middle eastern': 39.2480343580246, 'latino hispanic': 27.169689536094666}",middle eastern
1 (1).jpg,"{'angry': 1.1860762240199776, 'disgust': 1.3161244135442475e-08, 'fear': 8.936437644191068, 'happy': 5.681712200645614e-05, 'sad': 69.59243183226206, 'surprise': 0.00037399518167121964, 'neutral': 20.284616019175527}",sad,"{'x': 53, 'y': 174, 'w': 402, 'h': 402}",21,"{'Woman': 1.2227103241002624e-05, 'Man': 99.99998807907104}",Man,"{'asian': 0.00405739810958039, 'indian': 0.22696317173540592, 'black': 0.0007483019089704612, 'white': 49.84064996242523, 'middle eastern': 43.09944212436676, 'latino hispanic': 6.8281397223472595}",white
1 (15).jpg,"{'angry': 0.10072779805105352, 'disgust': 2.9416800230082505e-11, 'fear': 2.108693057752483, 'happy': 0.0010460605725627363, 'sad': 43.79331841548462, 'surprise': 9.455389787510763e-08, 'neutral': 53.996210813974045}",neutral,"{'x': 128, 'y': 194, 'w': 467, 'h': 467}",36,"{'Woman': 60.10388731956482, 'Man': 39.89611566066742}",Woman,"{'asian': 0.9336763061583042, 'indian': 1.5866760164499283, 'black': 0.06706351414322853, 'white': 64.56910371780396, 'middle eastern': 19.293245673179626, 'latino hispanic': 13.550230860710144}",white
0 (20).png,"{'angry': 2.7154183612765337e-05, 'disgust': 2.9806693137984785e-10, 'fear': 0.08959266124293208, 'happy': 0.00026632387744029984, 'sad': 0.11009890586137772, 'surprise': 0.10715206153690815, 'neutral': 99.69286322593689}",neutral,"{'x': 107, 'y': 44, 'w': 938, 'h': 938}",26,"{'Woman': 96.02215886116028, 'Man': 3.977847471833229}",Woman,"{'asian': 0.07822225684071996, 'indian': 2.4908599268364995, 'black': 97.06249868124739, 'white': 0.0012295412842300401, 'middle eastern': 0.0005314273315386862, 'latino hispanic': 0.36665478541346963}",black
1 (35).jpg,"{'angry': 0.005181211181075792, 'disgust': 3.0160762839174933e-10, 'fear': 0.8674989040195289, 'happy': 90.711539430114, 'sad': 0.45772961275158003, 'surprise': 1.3739623948313233, 'neutral': 6.5840911319310145}",happy,"{'x': 2459, 'y': 799, 'w': 63, 'h': 63}",34,"{'Woman': 3.2462649047374725, 'Man': 96.75373435020447}",Man,"{'asian': 27.03199249696687, 'indian': 2.449930605288184, 'black': 1.4838691753965125, 'white': 45.36024900437886, 'middle eastern': 15.444196191084158, 'latino hispanic': 8.229765041456522}",white
1 (25).png,"{'angry': 0.0035918829193157206, 'disgust': 3.6044497314784665e-08, 'fear': 0.0327423816505004, 'happy': 6.89182471584229, 'sad': 0.0513500215359045, 'surprise': 0.0012392951987007564, 'neutral': 93.01925259943322}",neutral,"{'x': 78, 'y': 252, 'w': 477, 'h': 477}",24,"{'Woman': 0.001117260217142757, 'Man': 99.99887943267822}",Man,"{'asian': 0.23683848805507945, 'indian': 3.371323101003355, 'black': 0.19728977943448897, 'white': 36.71576003526211, 'middle eastern': 36.17951489564865, 'latino hispanic': 23.299273747162445}",white
1 (13).jpg,"{'angry': 23.37639480829239, 'disgust': 11.25221773982048, 'fear': 0.6931466981768608, 'happy': 3.2925866544246674, 'sad': 13.025663793087006, 'surprise': 0.19947749096900225, 'neutral': 48.16051423549652}",neutral,"{'x': 142, 'y': 462, 'w': 983, 'h': 983}",24,"{'Woman': 0.004623357017408125, 'Man': 99.99537467956543}",Man,"{'asian': 0.16710503259673715, 'indian': 0.5113838240504265, 'black': 0.06578040192835033, 'white': 60.030388832092285, 'middle eastern': 23.234939575195312, 'latino hispanic': 15.990400314331055}",white
1 (9).jpg,"{'angry': 51.724421977996826, 'disgust': 3.530358783088161e-08, 'fear': 0.6486340425908566, 'happy': 2.6764637728327045e-08, 'sad': 30.80087900161743, 'surprise': 2.577639978632723e-11, 'neutral': 16.82606190443039}",angry,"{'x': 177, 'y': 309, 'w': 950, 'h': 950}",26,"{'Woman': 0.37647595163434744, 'Man': 99.62353110313416}",Man,"{'asian': 12.13720515370369, 'indian': 21.801304817199707, 'black': 4.354434832930565, 'white': 20.031438767910004, 'middle eastern': 11.19437962770462, 'latino hispanic': 30.481240153312683}",latino hispanic
1 (30).jpg,"{'angry': 1.3226168230175972, 'disgust': 9.78925707856293e-10, 'fear': 0.8861622773110867, 'happy': 0.021933259267825633, 'sad': 70.53129076957703, 'surprise': 1.4532874686654096e-10, 'neutral': 27.237999439239502}",sad,"{'x': 647, 'y': 482, 'w': 165, 'h': 165}",24,"{'Woman': 2.368912659585476, 'Man': 97.63107895851135}",Man,"{'asian': 10.718996822834015, 'indian': 0.04947491688653827, 'black': 0.003994738654000685, 'white': 82.57935047149658, 'middle eastern': 4.232616350054741, 'latino hispanic': 2.415565401315689}",white
